#,Address,WL,Public,$BLOBZ
2,0x11C559ADA283632e416fa7546e92a78c241aD618,5,5,5000000
2,0x11e7C5CAa6Dd51649DBa8667B2EdBd0eF65ca5b9,5,5,5000000
2,0x1208614666298B08C8A3B49FeacA7dDB3A105d05,5,5,5000000
2,0x12846A6Da4e729a6B5c33d32F93bf52EE3CAe8C3,5,5,5000000
2,0x12924049E2D21664E35387C69429c98E9891a820,5,5,5000000
2,0x129b5B4a911315c136fBD758565131b24967de65,5,5,5000000
2,0x12Ff7B920Edf2ba45743C71f7a513F7a82030549,5,5,5000000
2,0x130541ed595a45Cd48D0BfB213DC8e5da552827A,5,5,5000000
2,0x13192B1056ED57eaa06BB7E49d70964A668e8604,5,5,5000000
2,0x1336FB8D98769694d689CF3235e054ec872F1f15,5,5,5000000
2,0x133bb0332C9337c57175F62d0EAAf0e6497A3C08,5,5,5000000
2,0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5,5,5,5000000
2,0x1343C26670625503B33Ac805b81e94f2E0Bc8c2E,5,5,5000000
2,0x134A1fC52c13eB57Da610595509aAb389140Fdd9,5,5,5000000
2,0x134AdE3f5E771f408BF7aB0a7AEff45364445BcD,5,5,5000000
2,0x134F5a1e7aA655CE6104694a59C58E23cb28a9d8,5,5,5000000
2,0x135d94fca9769bd38606F030c079cAE200f29E15,5,5,5000000
2,0x1381E41841714EBFf9B96C7240Fd1E257f85811a,5,5,5000000
2,0x13AE7D65560e668AEb788Ee28944D3fA3931D123,5,5,5000000
2,0x140DAAD3f2DdF2CCe32436CA6265c4BBD1ccef92,5,5,5000000
2,0x141d46F13Ad21Fe72248FF195881a6714BFD03D2,5,5,5000000
2,0x144579Ca8832050eEb8853e1A3793AC99F4b318a,5,5,5000000
2,0x14AC54a27b024222513AC05cf71A87c0923dF816,5,5,5000000
2,0x1508EF382d4F1F782E8121112214D8869Fa30668,5,5,5000000
2,0x1522428B2BCE54085912C8fCDA4840787f67ba08,5,5,5000000
2,0x154Bd5d57D90cE903a71754b32BdA83240dB34AD,5,5,5000000
2,0x15551B41E61f017C89BfdC2d073881B6e3F9aF97,5,5,5000000
2,0x156548113552Bb52AE921a0B44794A6a5F588C9c,5,5,5000000
2,0x156AC784BaE328f6aFb6403460145BA8B029d3b5,5,5,5000000
2,0x157e14AEaA74Da672E1C6C36d4d86DC29cc436Cd,5,5,5000000
