#,Address,WL,Public,$BLOBZ
6,0x11C559ADA283632e416fa7546e92a78c241aD618,5,5,5000000
6,0x11E14b7A383F3D7B82dD63da8f9B6B4D6c392B6e,5,5,5000000
6,0x11e7C5CAa6Dd51649DBa8667B2EdBd0eF65ca5b9,5,5,5000000
6,0x1208614666298B08C8A3B49FeacA7dDB3A105d05,5,5,5000000
6,0x120E5EFb2640fc3D550055b5940Cc0F62472DbfF,5,5,5000000
6,0x121fe7305DC5FCD7C7b13A85320ffF6A11f1DAC3,5,5,5000000
6,0x12846A6Da4e729a6B5c33d32F93bf52EE3CAe8C3,5,5,5000000
6,0x12924049E2D21664E35387C69429c98E9891a820,5,5,5000000
6,0x129b5B4a911315c136fBD758565131b24967de65,5,5,5000000
6,0x12Ff7B920Edf2ba45743C71f7a513F7a82030549,5,5,5000000
6,0x130541ed595a45Cd48D0BfB213DC8e5da552827A,5,5,5000000
6,0x131437b427471Ab069b9DA2654fa4f8fE7d110db,5,5,5000000
6,0x1336FB8D98769694d689CF3235e054ec872F1f15,5,5,5000000
6,0x133bb0332C9337c57175F62d0EAAf0e6497A3C08,5,5,5000000
6,0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5,5,5,5000000
6,0x1343C26670625503B33Ac805b81e94f2E0Bc8c2E,5,5,5000000
6,0x134A1fC52c13eB57Da610595509aAb389140Fdd9,5,5,5000000
6,0x134AdE3f5E771f408BF7aB0a7AEff45364445BcD,5,5,5000000
6,0x134dCFf9207D9f949EB87364299A5B8E1C1d737a,5,5,5000000
6,0x134F5a1e7aA655CE6104694a59C58E23cb28a9d8,5,5,5000000
6,0x135011b277194832297e7A03162f37835FC4C38E,5,5,5000000
6,0x135d94fca9769bd38606F030c079cAE200f29E15,5,5,5000000
6,0x1381E41841714EBFf9B96C7240Fd1E257f85811a,5,5,5000000
6,0x13A8a58959EEBEe7D45CD8fF2234E8986fFBEC88,5,5,5000000
6,0x13AE7D65560e668AEb788Ee28944D3fA3931D123,5,5,5000000
6,0x13bd5d9dff3fa6Eb1D3928f34afd0d2d9543989B,5,5,5000000
6,0x13DD4bC3fCDcb690689Ab50789B31AbbF93BE6c5,5,5,5000000
6,0x140DAAD3f2DdF2CCe32436CA6265c4BBD1ccef92,5,5,5000000
6,0x1412FeA7070345Ae6897494A1B897BFF5D0a26A0,5,5,5000000
